"treat" "age" "educ" "black" "hispan" "married" "nodegree" "re74" "re75" "re78"
1 46 13 1 0 0 0 0 0 647.2046
1 18 6 1 0 0 1 0 0 0
1 25 12 1 0 0 0 0 0 11965.81
1 28 15 1 0 0 0 0 0 9598.541
1 25 11 0 0 0 1 0 0 18783.35
1 22 12 1 0 0 0 0 0 18678.08
1 21 9 1 0 0 1 0 0 0
1 40 11 1 0 0 1 0 0 23005.6
1 22 11 1 0 0 1 0 0 6456.697
1 25 12 1 0 0 0 0 0 0
1 18 12 1 0 0 0 0 0 2321.107
1 38 12 0 0 0 0 0 0 4941.849
1 27 13 1 0 0 0 0 0 0
1 27 8 1 0 0 1 0 0 0
1 38 11 1 0 0 1 0 0 0
1 23 8 0 1 0 1 0 0 3881.284
1 26 11 1 0 0 1 0 0 17230.96
1 21 12 0 0 0 0 0 0 8048.603
1 25 8 1 0 0 1 0 0 0
1 31 11 1 0 1 1 0 0 14509.93
1 17 10 1 0 0 1 0 0 0
1 25 11 1 0 0 1 0 0 0
1 21 12 1 0 0 0 0 0 9983.784
1 44 11 1 0 0 1 0 0 0
1 25 12 0 0 0 0 0 0 5587.503
1 18 9 1 0 0 1 0 0 4482.845
1 42 12 1 0 0 0 0 0 2456.153
1 25 10 1 0 0 1 0 0 0
1 31 9 0 1 0 1 0 0 26817.6
1 24 10 1 0 0 1 0 0 0
1 26 10 1 0 0 1 0 0 9265.788
1 25 11 1 0 0 1 0 0 485.2298
1 18 11 1 0 0 1 0 0 4814.627
1 19 11 1 0 0 1 0 0 7458.105
1 43 9 1 0 0 1 0 0 0
1 27 13 1 0 0 0 0 0 34099.28
1 17 9 1 0 0 1 0 0 1953.268
1 30 11 1 0 0 1 0 0 0
1 26 10 1 0 1 1 2027.999 0 0
1 20 9 1 0 0 1 6083.994 0 8881.665
1 17 9 0 1 0 1 445.1704 74.34345 6210.67
1 20 12 1 0 0 0 989.2678 165.2077 0
1 18 11 1 0 0 1 858.2543 214.5636 929.8839
1 27 12 1 0 1 0 3670.872 334.0493 0
1 21 12 0 0 0 0 3670.872 334.0494 12558.02
1 27 12 1 0 0 0 2143.413 357.9499 22163.25
1 20 12 1 0 0 0 0 377.5686 1652.637
1 19 10 1 0 0 1 0 385.2741 8124.715
1 23 12 1 0 0 0 5506.308 501.0741 671.3318
1 29 14 1 0 0 0 0 679.6734 17814.98
1 18 10 1 0 0 1 0 798.9079 9737.154
1 19 9 1 0 0 1 0 798.9079 17685.18
1 27 13 0 0 1 0 9381.566 853.7225 0
1 18 11 0 0 0 1 3678.231 919.5579 4321.705
1 27 9 1 0 1 1 0 934.4454 1773.423
1 22 12 1 0 0 0 5605.852 936.1773 0
1 23 10 1 0 1 1 0 936.4386 11233.26
1 23 12 0 1 0 0 9385.74 1117.439 559.4432
1 20 11 1 0 0 1 3637.498 1220.836 1085.44
1 17 9 1 0 0 1 1716.509 1253.439 5445.2
1 28 11 1 0 0 1 0 1284.079 60307.93
1 26 11 1 0 1 1 0 1392.853 1460.36
1 20 11 1 0 0 1 16318.62 1484.994 6943.342
1 24 11 1 0 1 1 824.3886 1666.113 4032.708
1 31 9 1 0 0 1 0 1698.607 10363.27
1 23 8 0 0 1 1 0 1713.15 4232.309
1 18 10 1 0 0 1 2143.411 1784.274 11141.39
1 29 12 1 0 0 0 10881.94 1817.284 0
1 26 11 0 0 0 1 0 2226.266 13385.86
1 24 9 1 0 0 1 9154.7 2288.675 4849.559
1 25 12 1 0 0 0 14426.79 2409.274 0
1 24 10 1 0 0 1 4250.402 2421.947 1660.508
1 46 8 1 0 0 1 3165.658 2594.723 0
1 31 12 0 0 0 0 0 2611.218 2484.549
1 19 11 1 0 0 1 2305.026 2615.276 4146.603
1 19 8 1 0 0 1 0 2657.057 9970.681
1 27 11 1 0 0 1 2206.94 2666.274 0
1 26 11 1 0 1 1 0 2754.646 26372.28
1 20 10 1 0 0 1 5005.731 2777.355 5615.189
1 28 10 1 0 0 1 0 2836.506 3196.571
1 24 12 1 0 0 0 13765.75 2842.764 6167.681
1 19 8 1 0 0 1 2636.353 2937.264 7535.942
1 23 12 1 0 0 0 6269.341 3039.96 8484.239
1 42 9 1 0 1 1 0 3058.531 1294.409
1 25 13 1 0 0 0 12362.93 3090.732 0
1 18 9 1 0 0 1 0 3287.375 5010.342
1 21 12 1 0 0 0 6473.683 3332.409 9371.037
1 27 10 1 0 0 1 1001.146 3550.075 0
1 21 8 1 0 0 1 989.2678 3695.897 4279.613
1 22 9 1 0 0 1 2192.877 3836.986 3462.564
1 31 4 1 0 0 1 8517.589 4023.211 7382.549
1 24 10 1 0 1 1 11703.2 4078.152 0
1 29 10 1 0 0 1 0 4398.95 0
1 29 12 1 0 0 0 9748.387 4878.937 10976.51
1 19 10 0 0 0 1 0 5324.109 13829.62
1 19 11 0 1 1 1 5424.485 5463.803 6788.463
1 31 9 1 0 0 1 10717.03 5517.841 9558.501
1 22 10 1 0 1 1 1468.348 5588.664 13228.28
1 21 9 1 0 0 1 6416.47 5749.331 743.6666
1 17 10 1 0 0 1 1291.468 5793.852 5522.788
1 26 12 1 0 1 0 8408.762 5794.831 1424.944
1 20 9 0 1 0 1 12260.78 5875.049 1358.643
1 19 10 1 0 0 1 4121.949 6056.754 0
1 26 10 1 0 0 1 25929.68 6788.958 672.8773
1 28 11 1 0 0 1 1929.029 6871.856 0
1 22 12 0 1 1 0 492.2305 7055.702 10092.83
1 33 11 1 0 0 1 0 7867.916 6281.433
1 22 12 0 0 0 0 6759.994 8455.504 12590.71
1 29 10 0 1 0 1 0 8853.674 5112.014
1 33 12 1 0 1 0 20279.95 10941.35 15952.6
1 25 14 1 0 1 0 35040.07 11536.57 36646.95
1 35 9 1 0 1 1 13602.43 13830.64 12803.97
1 35 8 1 0 1 1 13732.07 17976.15 3786.628
1 33 11 1 0 1 1 14660.71 25142.24 4181.942
0 45 11 0 0 1 1 21500 25200 25600
0 21 14 0 0 0 0 3180 5850 13500
0 38 12 0 0 1 0 23000 25100 25600
0 48 6 0 0 1 1 25000 25200 25600
0 18 8 0 0 1 1 1670 10700 9860
0 22 11 0 0 1 1 16400 18400 25600
0 48 10 0 0 1 1 16800 16400 18100
0 18 11 0 0 0 1 1140 3620 15700
0 48 9 0 0 1 1 25900 25200 25600
0 45 12 0 0 1 0 25900 0 3920
0 34 14 0 0 1 0 25900 23700 25600
0 16 10 0 0 0 1 1030 1220 6850
0 53 10 0 0 1 1 25900 25200 25600
0 19 12 0 0 0 0 868 4390 8780
0 27 12 0 0 1 0 25900 19000 19200
0 32 10 0 0 1 1 20400 23400 9180
0 27 12 0 0 1 0 21000 14800 25600
0 46 7 0 0 1 1 19200 1320 0
0 24 13 0 0 0 0 20800 25200 23900
0 22 13 0 0 0 0 11000 10400 6560
0 49 10 0 0 1 1 392 0 0
0 17 10 0 0 0 1 0 0 4760
0 29 14 0 0 1 0 21500 22600 20900
0 28 16 0 0 1 0 16500 0 10300
0 46 12 0 0 1 0 24800 25000 19300
0 26 17 1 0 1 0 0 0 4750
0 49 12 0 0 0 0 25900 25200 25600
0 51 10 0 0 1 1 25900 25200 25600
0 51 10 0 0 1 1 22900 21700 10300
0 27 11 0 0 1 1 17000 18100 18500
0 23 13 0 0 0 0 19100 21000 0
0 27 10 0 0 1 1 7950 9760 13100
0 38 10 0 0 1 1 25900 25200 25600
0 32 8 0 0 0 1 7190 6150 8410
0 34 14 0 0 1 0 25900 25200 25600
0 26 18 0 0 1 0 21000 21900 25600
0 21 13 0 0 0 0 8640 8180 6750
0 39 8 0 1 0 1 13500 16400 16500
0 17 8 1 0 0 1 0 451 0
0 22 11 0 1 1 1 17500 17800 14400
0 21 12 0 1 0 0 0 0 0
0 44 9 0 1 1 1 15400 14900 12600
0 26 10 0 1 1 1 17100 17400 13500
0 54 4 0 1 1 1 13400 13200 13700
0 42 12 0 1 1 0 21700 22000 19900
0 25 12 0 0 0 0 8110 11900 6170
0 20 13 0 0 0 0 317 215 0
0 44 11 0 0 1 1 25900 25200 25600
0 33 12 0 0 1 0 25900 25200 25600
0 40 12 0 0 1 0 25900 14500 25600
0 25 16 0 0 1 0 21000 22900 23600
0 33 12 0 0 0 0 12700 13000 11300
0 52 13 1 0 0 0 19800 19700 18400
0 54 14 0 0 1 0 24700 25200 25600
0 27 15 0 0 0 0 19200 19300 18200
0 51 10 0 0 1 1 7490 7890 6150
0 42 12 0 0 1 0 6500 15200 15500
0 50 10 0 0 1 1 25900 25200 25600
0 47 10 0 0 1 1 15300 14000 9040
0 28 12 0 0 1 0 24200 11000 20100
0 33 12 0 0 1 0 25900 25200 25600
0 33 13 0 0 1 0 21100 18700 22300
0 55 16 0 0 1 0 25900 24600 25600
0 38 12 0 0 1 0 25900 25200 25600
0 39 16 0 0 1 0 25900 25200 25600
0 27 17 0 0 1 0 25900 25200 25600
0 16 9 0 0 0 1 378 467 4310
0 35 12 0 0 1 0 6650 3330 0
0 35 12 0 0 1 0 22400 21100 23600
0 45 12 0 0 1 0 25900 25200 0
0 51 11 0 0 1 1 18300 21600 20300
0 27 16 0 0 0 0 11300 1760 5530
0 28 14 0 0 1 0 0 0 18700
0 35 18 0 0 1 0 25900 25200 25600
0 39 10 0 0 1 1 18500 0 21500
0 33 12 0 0 0 0 25900 25200 25600
0 52 16 0 0 1 0 25900 25200 12400
0 22 13 0 0 0 0 5020 6820 13900
0 25 12 0 0 1 0 20100 11100 19000
0 28 16 0 0 1 0 25000 22700 0
0 27 16 0 0 1 0 16900 16200 17300
0 30 13 0 0 0 0 8360 7990 8590
0 28 15 0 0 0 0 9670 8090 14300
0 24 12 0 0 1 0 19100 18300 22300
0 29 11 1 0 0 1 14700 15000 13700
0 49 7 1 0 0 1 16400 16000 16000
0 22 12 0 0 1 0 13400 14400 17100
0 30 16 0 0 1 0 25900 25200 25600
0 45 12 0 0 1 0 24200 25200 0
0 44 12 0 0 1 0 24700 24400 25600
0 21 12 0 0 0 0 11500 1950 25600
0 26 13 0 0 1 0 11700 4140 18700
0 25 16 0 0 1 0 18800 20100 21000
0 45 8 0 0 1 1 16900 15300 17000
0 19 9 0 0 0 1 3310 10500 1690
0 55 9 0 0 1 1 12600 12300 12200
0 22 12 0 0 1 0 12400 13000 17500
0 37 18 0 0 1 0 0 16700 25600
0 38 12 0 0 1 0 25900 25200 25300
0 29 13 0 0 1 0 18000 11600 2640
0 43 8 0 0 1 1 21000 25200 1300
0 51 10 0 0 1 1 25900 19800 4.43
0 25 14 0 0 1 0 11800 11600 13900
0 52 12 0 0 1 0 20800 20800 10400
0 26 14 0 0 1 0 22900 24500 25600
0 37 18 0 0 1 0 25900 25200 25600
0 36 12 0 0 1 0 25900 25200 25600
0 27 14 0 0 1 0 6400 18500 21300
0 21 11 0 0 1 1 20800 25200 25600
0 44 12 0 0 1 0 22700 0 19100
0 49 17 0 0 1 0 25900 25200 25600
0 32 0 0 0 0 1 4560 3980 7250
0 23 12 0 0 1 0 16600 17600 22900
0 46 12 0 0 1 0 18600 18200 20500
0 17 10 0 0 0 1 0 1540 19800
0 26 12 0 0 1 0 19100 24800 22500
0 27 12 0 0 1 0 19600 8180 25600
0 30 15 0 0 1 0 23900 25200 25600
0 23 12 0 0 0 0 23800 24900 25500
0 22 12 0 0 1 0 13500 21800 25600
0 30 18 0 0 1 0 23100 23600 25600
0 32 14 0 0 1 0 20100 15900 25600
0 27 14 0 0 0 0 15600 24700 25600
0 18 12 0 0 0 0 4730 3330 12600
0 33 18 0 0 0 0 0 0 25600
0 22 11 0 0 0 1 5330 1060 0
0 23 16 0 0 0 0 2360 0 3270
0 51 10 0 0 1 1 19000 17500 0
0 21 15 0 0 0 0 2470 5120 10900
0 18 12 0 0 0 0 9070 9340 7970
0 53 10 0 0 1 1 0 0 0
0 21 12 0 0 0 0 4060 1870 0
0 32 16 0 0 1 0 22500 22700 25600
0 41 12 0 0 1 0 25900 24700 25600
0 48 12 0 0 0 0 25900 25200 25600
0 25 18 0 0 0 0 2350 211 25600
0 23 16 0 0 0 0 913 8680 14300
0 30 12 0 0 1 0 0 0 0
0 22 12 0 0 1 0 1810 7110 0
0 44 10 0 0 1 1 5940 2740 2170
0 17 11 0 0 0 1 2450 3270 7940
0 23 12 0 0 0 0 331 0 594
0 47 8 0 0 1 1 25200 22700 24400
0 54 12 0 0 1 0 0 0 0
0 49 8 0 0 1 1 11400 3710 19100
0 36 18 0 0 1 0 23700 25200 25600
0 33 14 0 0 1 0 25000 23300 25600
0 43 15 0 0 1 0 19400 25200 22600
0 37 10 0 0 0 1 17200 18400 0
0 48 12 0 0 0 0 16500 16600 16700
0 54 12 0 0 0 0 0 0 0
0 28 16 0 0 0 0 92.1 0 627
0 35 3 0 0 1 1 19600 20400 15300
0 55 12 0 0 1 0 14700 3130 0
0 53 7 0 0 1 1 22300 21500 10200
0 25 12 0 0 1 0 19900 17800 14400
0 30 8 0 0 1 1 18700 15500 23000
0 44 5 0 0 0 1 12800 9440 6220
0 44 6 0 0 1 1 25900 15200 25600
0 20 10 0 0 0 1 3810 5230 5020
0 49 9 0 0 1 1 17100 12700 12700
0 55 8 0 0 1 1 5620 5450 23600
0 51 16 0 0 1 0 25900 25200 25600
0 24 16 0 0 0 0 9690 16000 7330
0 54 10 0 0 1 1 25100 25200 22200
0 32 16 1 0 0 0 17100 1030 0
0 19 4 0 1 1 1 2300 1790 11600
0 36 18 0 0 0 0 0 0 0
0 55 10 0 0 1 1 0 0 0
0 25 12 0 0 1 0 8680 17700 17500
0 26 18 0 0 1 0 0 8410 22900
0 19 13 0 0 0 0 5060 5180 16400
0 52 11 0 0 1 1 25900 25200 23300
0 19 12 0 0 0 0 4340 4690 21400
0 17 11 0 0 0 1 43.1 0 14900
0 23 10 0 0 1 1 10600 1460 11900
0 44 12 0 0 1 0 25900 25200 25600
0 28 12 0 0 1 0 13100 5000 9380
0 49 8 0 0 1 1 17900 23700 9460
0 54 10 0 0 1 1 14500 8740 8490
0 22 11 0 0 0 1 5660 0 3900
0 33 13 0 0 1 0 25900 25200 25600
0 40 12 0 0 0 0 20500 6210 22700
0 47 12 0 0 1 0 25900 20500 24500
0 21 12 0 0 0 0 9790 2170 15000
0 17 10 0 0 0 1 0 0 1380
0 16 9 0 0 0 1 0 1350 6710
0 40 12 0 0 1 0 15400 12900 13100
0 36 12 0 0 1 0 25200 25200 25600
0 51 12 0 0 1 0 25900 25200 25600
0 46 9 0 0 1 1 25100 25200 25100
0 33 18 0 0 1 0 23400 25200 18500
0 28 13 0 0 1 0 24800 21300 14300
0 27 11 0 0 1 1 14300 12800 18700
0 33 12 0 0 0 0 25900 25200 21900
0 26 12 0 0 1 0 16800 20000 20000
0 24 12 0 0 1 0 16100 8920 16500
0 28 8 0 0 1 1 16500 18300 23500
0 36 12 0 0 1 0 23900 23300 25400
0 42 12 0 0 1 0 21500 22100 23400
0 16 10 0 0 0 1 0 0 1400
0 53 14 0 0 1 0 23000 16300 0
0 52 10 0 0 1 1 17300 16200 20200
0 22 12 0 0 0 0 0 0 0
0 55 14 0 0 1 0 25900 25200 25600
0 26 14 0 0 1 0 9930 13400 10800
0 38 12 0 0 1 0 2400 0 0
0 43 12 0 0 1 0 14300 3450 18800
0 55 7 0 0 1 1 18700 16800 19400
0 49 10 0 0 1 1 24100 22800 25200
0 20 12 0 0 0 0 9580 15700 18700
0 18 10 0 0 0 1 0 0 6480
0 31 16 0 0 1 0 25900 25200 25600
0 54 18 0 0 1 0 25900 25200 25600
0 28 12 0 0 1 0 20700 4070 17300
0 24 12 0 0 1 0 19000 21000 17700
0 21 8 0 0 0 1 18400 6780 9380
0 39 8 0 0 1 1 24200 20900 25600
0 28 12 0 0 1 0 23600 21900 25600
0 40 12 0 0 1 0 25900 25200 23700
0 38 7 0 0 1 1 22300 18900 22200
0 16 10 0 0 0 1 0 521 9930
0 43 12 0 0 1 0 0 0 0
0 49 12 0 0 1 0 24800 23200 21200
0 28 14 0 0 0 0 19300 18600 20000
0 22 12 0 0 0 0 15300 14900 25600
0 39 12 0 0 1 0 7460 8510 9860
0 27 16 0 0 1 0 21100 24800 12500
0 21 12 0 0 0 0 15700 8120 15900
0 48 11 0 0 1 1 25900 25200 23700
0 30 12 0 0 1 0 25900 25200 25600
0 20 12 0 0 1 0 11500 8190 10000
0 20 13 0 0 0 0 0 630 13900
0 18 12 0 0 0 0 658 1430 0
0 23 12 0 1 0 0 5820 18100 8880
0 33 12 0 0 1 0 18300 13900 12600
0 31 12 0 0 1 0 21600 21500 25600
0 28 12 1 0 0 0 4700 0 731
0 30 14 0 0 0 0 0 0 0
0 23 13 1 0 0 0 172 272 582
0 38 12 0 0 1 0 10400 11600 16000
0 37 12 1 0 1 0 18800 21600 18100
0 16 10 0 0 0 1 658 630 5130
0 18 10 0 0 0 1 0 2470 0
0 47 9 0 0 1 1 20000 19200 24000
0 17 9 0 0 0 1 0 3990 10200
0 35 12 1 0 1 0 17200 15700 18100
0 19 7 0 1 0 1 1250 0 8200
0 36 9 1 0 1 1 18900 18900 11000
0 41 8 0 0 1 1 0 0 0
0 54 12 0 0 1 0 0 0 0
0 51 18 0 0 1 0 25900 25200 25600
0 55 15 0 0 1 0 25900 25200 25600
0 29 16 0 0 1 0 1660 5130 8810
0 46 16 0 0 1 0 25900 25200 25600
0 30 14 0 0 1 0 25900 25200 25600
0 28 14 1 0 1 0 23000 22600 23100
0 48 12 1 0 1 0 24200 22100 21900
0 26 11 1 0 0 1 20800 19400 21900
0 32 12 0 0 1 0 25900 25200 23600
0 50 12 0 0 1 0 0 0 0
0 20 11 0 0 0 1 11200 12400 13000
0 21 12 0 0 0 0 11600 14800 20700
0 20 9 0 0 0 1 4300 8800 8960
0 32 4 0 1 0 1 14800 15500 12000
0 46 12 0 0 1 0 0 0 0
0 18 12 0 0 0 0 2360 1750 2750
0 51 12 0 0 1 0 22400 21800 3250
0 32 15 0 0 1 0 25900 25200 25600
0 26 16 0 0 1 0 8380 10600 4050
0 24 15 0 0 0 0 1060 0 9440
0 46 8 0 0 1 1 24000 24000 3920
0 21 16 0 0 0 0 0 0 20700
0 32 16 0 0 1 0 25000 25200 25600
0 30 18 0 0 0 0 25900 9660 7730
0 25 18 0 0 1 0 5360 8770 25600
0 51 12 0 0 1 0 20800 19200 22600
0 21 9 0 1 1 1 7250 9970 16600
0 34 18 0 0 1 0 25900 25200 25600
0 29 5 0 0 1 1 25900 25200 25600
0 52 12 0 0 1 0 9050 4980 0
0 21 14 0 0 0 0 8490 10200 0
0 17 10 0 0 0 1 3520 4340 0
0 50 8 0 1 0 1 14900 13300 10800
0 21 11 1 0 0 1 1890 1370 16700
0 49 12 0 1 1 0 21400 21000 25000
0 23 18 0 1 0 0 0 0 0
0 17 12 0 1 0 0 946 1380 0
0 52 3 1 0 1 1 12700 12700 9380
0 47 4 0 1 1 1 8890 12300 17100
0 24 4 0 1 1 1 8430 17000 25300
0 29 12 0 0 0 0 0 0 0
0 49 12 0 0 1 0 6300 4250 10200
0 55 12 0 0 1 0 25900 25200 564
0 28 12 0 0 0 0 25500 25200 25600
0 19 13 0 0 0 0 3870 4920 1690
0 35 16 0 0 0 0 25800 25200 25600
0 31 12 0 0 1 0 20600 18900 15100
0 44 12 0 0 1 0 25900 25200 25600
0 54 11 0 0 1 1 24300 24700 0
0 37 12 0 0 1 0 25900 25200 25600
0 46 12 0 0 1 0 12000 10500 8330
0 29 12 1 0 1 0 18100 14100 16000
0 55 12 0 0 1 0 16100 14000 14700
0 22 12 0 0 0 0 16000 17400 22700
0 18 11 0 0 0 1 0 310 16800
0 32 13 0 0 1 0 25900 25200 25600
0 51 12 0 0 1 0 102 0 0
0 49 12 0 0 1 0 25900 15000 24500
0 27 16 0 0 1 0 25900 25200 25600
0 19 13 0 0 0 0 10100 10500 5910
0 38 3 0 0 1 1 25900 25200 25600
0 40 12 0 0 1 0 23400 22200 25600
0 21 12 0 0 0 0 6340 6720 25000
0 29 12 0 0 1 0 25900 25200 25600
0 39 12 0 0 1 0 25900 25200 0
0 39 12 1 0 1 0 25900 25200 25600
0 34 14 0 0 1 0 9580 14900 25600
0 26 17 0 0 1 0 25900 21500 0
0 40 18 0 0 1 0 25900 25200 25600
0 31 14 0 0 0 0 2190 4940 2360
0 28 17 0 0 1 0 25900 25200 25600
0 17 11 0 0 0 1 0 1030 6350
0 35 12 1 0 1 0 21700 21500 21000
0 34 15 0 1 1 0 18600 24500 0
0 44 8 0 0 1 1 25900 17700 20600
0 54 8 0 0 1 1 25300 22200 25600
0 30 10 0 1 1 1 25900 25200 25600
0 39 14 1 0 0 0 0 0 0
0 29 12 0 0 1 0 20900 20700 24700
0 25 10 0 0 1 1 8660 5150 10700
0 42 5 0 1 1 1 20900 18700 22300
0 48 6 0 1 1 1 14700 18300 17800
0 25 6 0 1 1 1 17100 15000 0
0 49 11 0 0 1 1 25900 25200 25600
0 38 12 0 0 0 0 10700 9960 10400
0 38 15 0 0 1 0 25900 25200 25600
0 31 12 0 0 1 0 25900 25200 25600
0 41 12 0 0 1 0 25900 25200 25600
0 25 13 0 0 1 0 17200 11600 25600
0 48 18 0 0 1 0 7030 7440 0
0 21 14 0 0 0 0 6450 15300 11800
0 20 14 0 0 0 0 266 1050 10700
0 54 14 0 0 0 0 11300 6230 1320
0 41 8 0 0 1 1 25100 19500 25600
0 49 7 0 0 0 1 11900 2370 1910
0 46 6 0 1 1 1 10300 11300 13000
0 18 11 0 1 0 1 0 387 16600
0 30 10 0 0 1 1 25900 22400 22400
0 39 12 0 0 1 0 7160 15700 16900
0 17 10 0 0 0 1 647 0 9440
0 28 12 0 0 1 0 16100 12400 21400
0 29 12 0 0 1 0 12900 13200 8610
0 39 12 0 0 1 0 25900 25100 24600
0 38 7 0 0 1 1 14800 15800 16800
0 29 12 0 0 1 0 12300 12000 12500
0 39 14 0 0 1 0 22900 20900 22000
0 18 11 0 0 0 1 327 0 965
0 46 12 0 0 1 0 0 0 0
0 17 10 0 0 0 1 102 0 474
0 47 8 0 0 1 1 18400 16400 25600
0 24 17 0 0 0 0 989 4690 1030
0 30 12 0 0 1 0 25900 25200 25600
0 42 7 0 0 1 1 11000 5810 9240
0 27 16 0 0 1 0 23600 20700 25600
0 50 12 0 0 1 0 25900 0 25600
0 39 14 0 0 1 0 20500 22000 23500
0 32 12 0 0 1 0 23400 0 0
0 39 18 0 0 0 0 0 0 0
0 35 18 0 0 0 0 11800 9150 7310
0 37 8 0 0 1 1 13200 13500 13400
0 52 13 0 0 1 0 3140 4090 0
0 40 15 0 0 1 0 0 0 0
0 29 16 0 0 0 0 462 1470 3940
0 17 10 0 0 0 1 0 1230 5380
0 43 9 0 0 1 1 25900 25200 0
0 51 16 0 0 1 0 0 0 0
0 20 12 1 0 0 0 8060 13200 16500
0 52 8 0 0 1 1 10900 13300 13200
0 43 12 0 0 1 0 16300 14800 12000
0 55 11 0 0 1 1 19400 21100 21300
0 31 13 0 0 1 0 13000 10600 10400
0 29 13 0 0 0 0 16000 10300 12600
0 26 12 0 0 0 0 12900 7290 11300
0 43 12 0 0 1 0 19600 19500 24100
0 18 12 0 0 0 0 0 408 21600
0 38 12 0 0 1 0 21400 23400 21700
0 54 14 0 0 1 0 19200 19400 20200
0 26 18 0 0 0 0 404 10700 11700
0 41 12 0 0 1 0 23200 24700 25300
0 43 12 0 0 1 0 76.4 0 0
0 24 14 0 0 1 0 13200 14300 14500
0 45 12 0 0 1 0 10600 11600 12700
0 45 14 0 0 1 0 25900 25200 25600
0 32 12 0 0 1 0 19700 19700 23400
0 42 12 0 0 0 0 10200 15600 0
0 34 10 0 0 0 1 8120 4690 20700
0 30 12 0 0 1 0 9960 9100 8250
0 26 5 0 0 1 1 1570 0 3700
0 28 12 0 0 1 0 0 5710 1870
0 27 7 0 0 1 1 22700 18800 25600
0 37 12 0 0 1 0 22600 21100 20000
0 33 12 0 0 1 0 17300 25200 25600
0 16 10 0 0 0 1 139 761 5830
0 46 12 0 0 1 0 18300 11900 14100
0 41 12 0 0 1 0 17100 16300 17800
0 46 12 0 0 1 0 25900 25200 25600
0 50 18 0 0 1 0 19600 20300 25600
0 49 9 0 0 1 1 18100 16600 13400
0 34 12 0 0 1 0 25900 25200 25600
0 55 12 0 0 1 0 5770 8820 22700
0 16 10 0 0 0 1 0 0 7320
0 39 12 0 0 1 0 24400 21200 25600
0 32 12 0 0 1 0 17000 13800 0
0 46 6 0 0 1 1 0 0 0
0 33 12 0 0 1 0 3010 13000 399
0 38 10 0 0 1 1 25900 25100 22900
